symbol,as_of,weight,debt_ratio,cash_ratio,receivables_ratio,near,gap_to_limit
FISV,2022-04-30,0.006202498221656265,0.2952771139337629,0.011609756092418516,0.05137490869639092,debt,0.004722886066237109
LYV,2022-04-30,0.002222445747633531,0.2806895164821295,0.26646516074216453,0.3246474152517295,debt,0.019310483517870514
NTAP,2022-04-30,0.0015337167752371814,0.17011044438907855,0.29704696140281345,0.35812384968080707,cash,0.0029530385971865414
FISV,2022-05-31,0.006283689221011795,0.2960195037552553,0.011638945502455065,0.05150407620547481,debt,0.003980496244744669
IQV,2022-05-31,0.0038316782857250324,0.29956337794186394,0.03676708569221647,0.10026934405433172,debt,0.00043662205813604915
NTAP,2022-05-31,0.001491786716539926,0.16734429027363282,0.2922167014048695,0.35230042264673234,cash,0.0077832985951304945
FISV,2022-06-30,0.006121834260296119,0.2970476004167368,0.01167936838291544,0.051682953502841376,debt,0.00295239958326321
IQV,2022-06-30,0.004237306806315773,0.29540266406667454,0.03625641805106185,0.09887667698691749,debt,0.004597335933325453
CF,2022-06-30,0.001823212194984488,0.2981497532259637,0.14008305865854803,0.18284797275762563,debt,0.0018502467740362794
FISV,2022-07-31,0.0067560182398433075,0.29733134243868264,0.011690524600287236,0.051732321434803996,debt,0.0026686575613173447
IQV,2022-07-31,0.004359229887452777,0.29166613675493436,0.03579781319486771,0.09762599292412129,debt,0.008333863245065631
DVN,2022-07-31,0.003978453046077599,0.28684080421173536,0.09288473434749037,0.16116541328897566,debt,0.013159195788264633
CF,2022-07-31,0.0018867844854467022,0.28653862758104887,0.1346276726412547,0.17572715255692029,debt,0.013461372418951123
ABBV,2022-08-31,0.023529761492976635,0.29738131256326594,0.04553149077919886,0.09174386956903274,debt,0.0026186874367340462
FISV,2022-08-31,0.006692451960904337,0.29641677974708575,0.011654565667882309,0.05157319777583848,debt,0.003583220252914243
IQV,2022-08-31,0.0039915877573852305,0.2872089144616636,0.03525075342029891,0.09613407906361815,debt,0.01279108553833641
ABBV,2022-09-30,0.02548968034834165,0.29225363201997206,0.04474640130143958,0.0901619502113544,debt,0.007746367980027924
FISV,2022-09-30,0.006716443703552769,0.2962319319821236,0.011647297791829036,0.05154103633629735,debt,0.0037680680178763803
IQV,2022-09-30,0.003690025111229165,0.2848494400047397,0.034961161948396255,0.09534431978885587,debt,0.015150559995260271
ABBV,2022-10-31,0.02601571156153557,0.2863639609903055,0.04384464490031156,0.0883449523438933,debt,0.013636039009694512
BMY,2022-10-31,0.01739230451131226,0.2977714975157362,0.11339284059102599,0.16672075966893454,debt,0.0022285024842637613
