symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
MCO,2020-02-24,0.006501098764393633,252.10877990722656,0.56,0.0033087987034911203,0.0018529272739550276,4.7781212600581066e-08,True
NDSN,2020-02-24,0.001287190844415459,153.26025390625,0.38,0.0008403874532523086,0.0003193472322358773,2.6821098298250656e-09,True
SPGI,2020-02-25,0.009275765777079344,253.21824645996094,0.633869,,,,False
NEM,2020-03-04,0.005205351018901527,42.63813018798828,0.14,0.005852156057494866,0.0008193018480492813,1.0002206219475983e-07,True
QCOM,2020-03-04,0.012941333488804009,71.07273864746094,0.62,0.013018580315576978,0.008071519795657726,1.4697088000959072e-06,True
SPGI,2020-05-26,0.009440313591508804,280.43890380859375,0.633869,,,,False
TER,2020-05-26,0.0014531792039110774,63.3450813293457,0.1,0.037859925150843965,0.0037859925150843968,8.685324059304463e-08,True
JKHY,2020-05-27,0.0017663464936850568,163.30738830566406,0.43,0.0005641817979237337,0.00024259817310720547,2.6239623135743366e-09,True
ADI,2020-05-28,0.005636336724717419,99.81898498535156,0.62,0.0017073759006119946,0.0010585730583794366,5.977294004358024e-08,True
CBOE,2020-05-28,0.0015355335817439741,94.66035461425781,0.36,0.0007611874524257842,0.0002740274828732823,4.445138664305392e-09,True
FDS,2020-05-28,0.001463668906190861,283.7276306152344,0.77,,,,False
UNP,2020-05-28,0.015441898963646557,148.734375,0.97,0.0014741109268472453,0.0014298875990418278,1.4845377764067698e-07,True
EBAY,2020-05-29,0.004426956600427162,41.102352142333984,0.16,0.011111111111111112,0.0017777777777777779,1.9147675637083778e-07,True
MCD,2020-05-29,0.020032112458460365,161.11492919921875,1.25,,,,False
NEM,2020-06-03,0.00634354882730377,47.03615951538086,0.25,0.005852156057494866,0.0014630390143737166,1.9731329087136048e-07,True
QCOM,2020-06-03,0.0124346749743315,73.64545440673828,0.65,0.013018580315576978,0.008462077205125035,1.4287803707787535e-06,True
CME,2020-06-09,0.008783376010687757,149.31085205078125,0.85,,,,False
AME,2020-06-11,0.0028211722392367995,84.59276580810547,0.18,,,,False
GILD,2020-06-11,0.013230265810250373,57.78801727294922,0.68,,,,False
GPN,2020-06-11,0.007235620844112037,165.92922973632812,0.195,0.0063952953362981105,0.0012470825905781316,5.4381116582383564e-08,True
GRMN,2020-06-12,0.002308706325898809,80.35759735107422,0.61,0.014084477589468262,0.00859153132957564,2.468381756499086e-07,True
KO,2020-06-12,0.02703950982146582,37.87833786010742,0.41,0.015107604787205495,0.006194117962754253,4.4216806478618934e-06,True
MRK,2020-06-12,0.026682555105806343,59.94969177246094,0.582061,0.005849701110162255,0.0034048828778821525,1.5154535800239294e-06,True
MSI,2020-06-12,0.003098177491203839,130.12411499023438,0.64,,,,False
NXPI,2020-06-12,0.003689283832485641,95.51773834228516,0.375,,,,False
TMO,2020-06-12,0.018895338242591823,334.078125,0.22,0.008769869234985513,0.001929371231696813,1.091245409092178e-07,True
TROW,2020-06-12,0.003818363739865788,92.17794036865234,0.9,,,,False
VRSK,2020-06-12,0.0037830989831441502,155.85897827148438,0.27,,,,False
ALLE,2020-06-15,0.001262393242503663,94.496826171875,0.32,0.0006306937631394534,0.00020182200420462509,2.6961618142927017e-09,True
ICE,2020-06-15,0.0072341448110605725,86.54800415039062,0.3,,,,False
AMT,2020-06-18,0.015352867264843828,215.88917541503906,1.1,,,,False
DHR,2020-06-25,0.01379357783104772,148.4231414794922,0.159574,0.007760550719944615,0.0012383821205844418,1.1508798422259258e-07,True
MDT,2020-06-25,0.01774628596855768,74.42086029052734,0.58,,,,False
ZBH,2020-06-26,0.003404332325656006,106.64093780517578,0.23301,,,,False
A,2020-06-29,0.003763465910287775,83.71937561035156,0.18,0.006972690296339338,0.0012550842533410808,5.642023447442083e-08,True
ITW,2020-06-29,0.007405505033298991,148.19056701660156,1.07,0.0020554256148557657,0.0021993054078956694,1.0990556008945202e-07,True
MPWR,2020-06-29,0.0012283881748371918,220.27352905273438,0.5,,,,False
CSCO,2020-07-02,0.026586873421268614,38.452213287353516,0.36,0.025200369913686807,0.00907213316892725,6.272711909212494e-06,True
INTU,2020-07-09,0.01033627621650266,295.1044616699219,0.53,,,,False
NTAP,2020-07-09,0.0013033268277790541,36.58753204345703,0.48,0.008869179600886918,0.004257206208425721,1.5165086992581224e-07,True
ABT,2020-07-14,0.021840996158997577,84.76824188232422,0.36,0.0029463390170511535,0.0010606820461384152,2.7329046800081674e-07,True
ORCL,2020-07-14,0.02273647040350785,52.63023376464844,0.24,0.01348930070646053,0.003237432169550527,1.398583579079443e-06,True
