date,symbol,delta_w,adv
2020-06-30,CSCO,-0.000702044962316635,1021494046.8200684
2020-06-30,DHR,0.000830342108475518,440548560.01416016
2020-06-30,EBAY,0.0007325103325276257,534444459.71069336
2020-06-30,EMR,7.737967313958382e-05,186155995.9350586
2020-06-30,ETN,0.00013794810388137024,198115674.5677948
2020-06-30,EW,-0.00016483968390922782,235340142.42401123
2020-06-30,EXPE,5.295896526849109e-05,361038049.1191864
2020-06-30,FDS,0.0001054663913774886,85000154.56848145
2020-06-30,FFIV,-4.5312430648182956e-05,86848683.89129639
2020-06-30,FICO,5.80617038590922e-05,97411893.95904541
2020-06-30,GILD,-0.00016537744372570502,665501570.1004028
2020-06-30,GPN,-0.0004052457301425101,353367164.24102783
2020-06-30,GRMN,0.0001849880521983126,89892175.91362
2020-06-30,HON,-0.00013361730478557085,527637898.3223343
2020-06-30,HSY,-0.00017383763314429484,147174596.33102417
2020-06-30,ICE,-0.00042762625306304834,267115635.17990112
2020-06-30,IEX,-1.5400824388827e-05,74107486.70196533
2020-06-30,ILMN,0.0001325044619771591,287482515.2661743
2020-06-30,INCY,5.6544578669385365e-05,135298189.26315308
2020-06-30,INTC,-0.0018228124944700067,1445129380.5210114
2020-06-30,INTU,0.00019392375423019255,350225829.89349365
2020-06-30,ISRG,-5.614383355492759e-05,366439428.89556885
2020-06-30,ITW,9.454072420977174e-05,206960216.90444946
2020-06-30,IVZ,0.0001691102933113947,94602043.81175041
2020-06-30,JKHY,3.086373187401875e-05,96938934.46655273
2020-06-30,JNJ,-0.0029812699172076657,1128512744.2108154
2020-06-30,KEYS,-0.0001912825673344152,177772620.78781128
2020-06-30,KO,-0.0011863810134972938,803115598.4519958
2020-06-30,LITE,8.25692359096629e-05,107134118.42079163
2020-06-30,LUV,0.00014787159676378286,882978128.5894394
2020-06-30,MCD,-0.0002104116416755432,747092698.4352112
2020-06-30,MCO,0.00018070663549169062,215259350.45013428
2020-06-30,MDT,-0.0012516741188079855,607986879.2236328
2020-06-30,META,0.0006701715217311416,4743506628.058624
2020-06-30,MMM,-3.9907965315522445e-05,463799597.09178925
2020-06-30,MNST,-4.800657983427062e-05,124926173.77471924
2020-06-30,MPWR,0.00015809301503865564,80106218.93310547
2020-06-30,MRK,-0.001148120462503982,802492234.4925194
2020-06-30,MSCI,5.249296343195738e-05,168364558.68225098
2020-06-30,MSI,0.00010643353221407052,250597739.08081055
2020-06-30,MTD,3.136472512595351e-05,101245594.61975098
2020-06-30,MU,0.0005278647110894662,1113382942.573166
2020-06-30,NDSN,8.938062201143543e-06,60439741.56265259
2020-06-30,NEM,0.00034755547073561394,637483469.3805695
2020-06-30,NOW,8.493585288631492e-05,644817437.3435974
2020-06-30,NSC,-0.00010074058759562687,260837146.51107788
2020-06-30,NTAP,-0.00013199499085888395,106289694.07520294
2020-06-30,NXPI,0.0006840021532656488,449880411.20376587
2020-06-30,ORCL,-0.001514988369162553,863491608.229065
2020-06-30,PAYX,0.00016347122375453237,142039052.20794678
2020-06-30,PFE,-0.003994504005600717,1033089696.3162498
2020-06-30,PG,0.00118307633038911,804108545.0958252
2020-06-30,PTC,2.046062457596227e-05,53686575.228500366
2020-06-30,QCOM,0.0015730543078233718,838754812.191391
2020-06-30,REGN,0.00015646639241179323,542483764.9932861
2020-06-30,RMD,0.0005974396497550726,130289298.50463867
2020-06-30,ROK,-5.265586622617193e-05,176591671.1845398
2020-06-30,ROL,1.5954699003134986e-05,41962645.03583908
2020-06-30,SNPS,0.00028017202545408586,196506755.03845215
2020-06-30,SPGI,0.00012724232767821406,373554194.871933
2020-06-30,SWKS,0.0002097214614583333,286816049.2221832
2020-06-30,TECH,-1.291719445878142e-06,56723288.247680664
2020-06-30,TER,0.00038876850217410097,195516970.8114624
2020-06-30,TMO,0.000690453104896311,546115347.9568481
2020-06-30,TRMB,0.00013500690984391008,58469389.26849365
2020-06-30,TROW,7.79141758507954e-05,147437426.10435486
2020-06-30,TTWO,4.952761376610538e-05,284044424.7253418
2020-06-30,TXN,0.0010345406189180353,616293677.0744324
2020-06-30,TYL,-0.00015510766635537954,150741552.02178955
2020-06-30,UNP,-9.033703048323335e-05,587768365.6661987
2020-06-30,VEEV,0.00032514615961488653,283273860.6903076
2020-06-30,VRSK,-5.83482921353482e-05,140360212.4382019
2020-06-30,VRSN,-0.00019437335521146556,128776275.0
2020-06-30,VRTX,7.084919950773629e-05,465871080.12390137
2020-06-30,ZBH,-0.00019154594399739457,210258847.5055771
2020-06-30,ZBRA,-4.1385955603398614e-05,80030261.87438965
2020-06-30,ZTS,-0.00015947351289438,235361546.26617432
2020-07-31,A,0.00015185874749496257,126325198.27423096
2020-07-31,ABT,0.0011020834695045223,456012711.6760254
2020-07-31,ACN,-1.7991838098866536e-05,340843975.4608154
2020-07-31,ADBE,-0.0007299734198393734,1022508893.5455322
2020-07-31,ADI,-0.0006439500842378874,439911144.8589325
2020-07-31,AKAM,4.66240767711245e-06,158172623.5420227
2020-07-31,ALGN,6.270449284894114e-05,220674266.80145264
2020-07-31,ALLE,-9.236539641618836e-05,69384279.77294922
2020-07-31,AMAT,0.00011572049180919378,348227764.799881
2020-07-31,AME,-1.1645530174802295e-05,101736122.15957642
2020-07-31,AMGN,-0.0001875785100984642,535527211.58981323
2020-07-31,AMT,-0.0005398855900881818,368328869.2474365
2020-07-31,AOS,-0.0010536322664497328,45686458.34312439
2020-07-31,AZO,8.260651858026883e-05,179360935.18676758
2020-07-31,BIIB,-0.00012630734685577065,265220778.96118164
2020-07-31,CBOE,-0.00014226981601876383,63846339.15519714
2020-07-31,CDNS,0.0003115621655923116,170512850.05569458
2020-07-31,CHD,0.0004947062560979841,126308568.90411377
2020-07-31,CL,4.7468283764333374e-05,240484642.71011353
2020-07-31,CME,-0.00018979155967498162,264013521.1669922
2020-07-31,CPAY,-5.459624616672813e-05,112873649.81536865
2020-07-31,CPRT,4.408242714989692e-05,108023779.62875366
2020-07-31,CRM,-0.00016520925298893485,829971239.7766113
2020-07-31,CSCO,-0.0009640495909036262,767411291.806221
2020-07-31,DHR,0.0014606467214094265,442394298.58918
2020-07-31,EBAY,3.258640685236368e-05,574736150.6507874
2020-07-31,EMR,-0.00023374116764308776,151606786.27490997
2020-07-31,ETN,7.741513690998243e-05,131779212.49465942
2020-07-31,EW,0.0001603908064225089,192001401.08413696
2020-07-31,EXPE,-9.83056211531514e-05,227639807.07244873
2020-07-31,FDS,1.0294597951572039e-05,66836096.99859619
2020-07-31,FFIV,-7.924379405808003e-05,128300829.99649048
2020-07-31,FICO,4.235554715931178e-06,109564413.40637207
